,PLAYER_ID,BBallRefUrl,Url,Name,Season,Offensive Position,Defensive Position,Archetype
447,2748,http://www.basketball-reference.com/players/w/wrighdo01.html,http://basketball.realgm.com/player/Dorell-Wright/Summary/387,Dorell Wright,2015,Wing,Forward,Shooting Wing
448,1627827,http://www.basketball-reference.com/players/f/finnedo01.html,http://basketball.realgm.com/player/Dorian-Finney-Smith/Summary/24159,Dorian Finney-Smith,2017,Wing,Forward,Utility Wing
449,203117,http://www.basketball-reference.com/players/l/lambdo01.html,http://basketball.realgm.com/player/Doron-Lamb/Summary/7107,Doron Lamb,2014,Wing,Guard,Shooting Wing
450,203926,http://www.basketball-reference.com/players/m/mcderdo01.html,http://basketball.realgm.com/player/Doug-McDermott/Summary/23478,Doug McDermott,2015,Wing,Forward,Slashing Wing
451,203926,http://www.basketball-reference.com/players/m/mcderdo01.html,http://basketball.realgm.com/player/Doug-McDermott/Summary/23478,Doug McDermott,2016,Wing,Forward,Slashing Wing
452,203926,http://www.basketball-reference.com/players/m/mcderdo01.html,http://basketball.realgm.com/player/Doug-McDermott/Summary/23478,Doug McDermott,2017,Wing,Forward,Shooting Wing
453,1627733,http://www.basketball-reference.com/players/b/bendedr01.html,http://basketball.realgm.com/player/Dragan-Bender/Summary/41582,Dragan Bender,2017,Wing,Forward,Shooting Wing
454,203110,http://www.basketball-reference.com/players/g/greendr01.html,http://basketball.realgm.com/player/Draymond-Green/Summary/2369,Draymond Green,2014,Big,Interior,Shooting Big
455,203110,http://www.basketball-reference.com/players/g/greendr01.html,http://basketball.realgm.com/player/Draymond-Green/Summary/2369,Draymond Green,2015,Big,Interior,Shooting Big
456,203110,http://www.basketball-reference.com/players/g/greendr01.html,http://basketball.realgm.com/player/Draymond-Green/Summary/2369,Draymond Green,2016,Big,Interior,Go-To Big
457,203110,http://www.basketball-reference.com/players/g/greendr01.html,http://basketball.realgm.com/player/Draymond-Green/Summary/2369,Draymond Green,2017,Big,Interior,Shooting Big
458,2400,http://www.basketball-reference.com/players/g/goodedr01.html,http://basketball.realgm.com/player/Drew-Gooden/Summary/210,Drew Gooden,2014,Big,Interior,Shooting Big
459,2400,http://www.basketball-reference.com/players/g/goodedr01.html,http://basketball.realgm.com/player/Drew-Gooden/Summary/210,Drew Gooden,2015,Big,Forward,Shooting Big
460,2400,http://www.basketball-reference.com/players/g/goodedr01.html,http://basketball.realgm.com/player/Drew-Gooden/Summary/210,Drew Gooden,2016,Big,Interior,Shooting Big
461,204079,http://www.basketball-reference.com/players/g/gordodr01.html,http://basketball.realgm.com/player/Drew-Gordon/Summary/2412,Drew Gordon,2015,Big,Forward,Shooting Big
462,202779,http://www.basketball-reference.com/players/b/buyckdw01.html,http://basketball.realgm.com/player/Dwight-Buycks/Summary/6158,Dwight Buycks,2014,Ball-Handler,Guard,Perimeter BH
463,202779,http://www.basketball-reference.com/players/b/buyckdw01.html,http://basketball.realgm.com/player/Dwight-Buycks/Summary/6158,Dwight Buycks,2015,Ball-Handler,Guard,Attacking BH
464,2730,http://www.basketball-reference.com/players/h/howardw01.html,http://basketball.realgm.com/player/Dwight-Howard/Summary/376,Dwight Howard,2014,Big,Interior,Diving Big
465,2730,http://www.basketball-reference.com/players/h/howardw01.html,http://basketball.realgm.com/player/Dwight-Howard/Summary/376,Dwight Howard,2015,Big,Interior,Diving Big
466,2730,http://www.basketball-reference.com/players/h/howardw01.html,http://basketball.realgm.com/player/Dwight-Howard/Summary/376,Dwight Howard,2016,Big,Interior,Diving Big
467,2730,http://www.basketball-reference.com/players/h/howardw01.html,http://basketball.realgm.com/player/Dwight-Howard/Summary/376,Dwight Howard,2017,Big,Interior,Diving Big
468,203939,http://www.basketball-reference.com/players/p/poweldw01.html,http://basketball.realgm.com/player/Dwight-Powell/Summary/9346,Dwight Powell,2015,Big,Interior,Go-To Big
469,203939,http://www.basketball-reference.com/players/p/poweldw01.html,http://basketball.realgm.com/player/Dwight-Powell/Summary/9346,Dwight Powell,2016,Big,Interior,Shooting Big
470,203939,http://www.basketball-reference.com/players/p/poweldw01.html,http://basketball.realgm.com/player/Dwight-Powell/Summary/9346,Dwight Powell,2017,Big,Interior,Shooting Big
471,2548,http://www.basketball-reference.com/players/w/wadedw01.html,http://basketball.realgm.com/player/Dwyane-Wade/Summary/450,Dwyane Wade,2014,Wing,Guard,Slashing Wing
472,2548,http://www.basketball-reference.com/players/w/wadedw01.html,http://basketball.realgm.com/player/Dwyane-Wade/Summary/450,Dwyane Wade,2015,Wing,Guard,Scoring Wing
473,2548,http://www.basketball-reference.com/players/w/wadedw01.html,http://basketball.realgm.com/player/Dwyane-Wade/Summary/450,Dwyane Wade,2016,Wing,Guard,Slashing Wing
474,2548,http://www.basketball-reference.com/players/w/wadedw01.html,http://basketball.realgm.com/player/Dwyane-Wade/Summary/450,Dwyane Wade,2017,Wing,Guard,Scoring Wing
475,202734,http://www.basketball-reference.com/players/m/mooreet01.html,http://basketball.realgm.com/player/ETwaun-Moore/Summary/2354,E'Twaun Moore,2014,Wing,Guard,Utility Wing
476,202734,http://www.basketball-reference.com/players/m/mooreet01.html,http://basketball.realgm.com/player/ETwaun-Moore/Summary/2354,E'Twaun Moore,2015,Wing,Guard,Utility Wing
477,202734,http://www.basketball-reference.com/players/m/mooreet01.html,http://basketball.realgm.com/player/ETwaun-Moore/Summary/2354,E'Twaun Moore,2016,Ball-Handler,Guard,Attacking BH
478,202734,http://www.basketball-reference.com/players/m/mooreet01.html,http://basketball.realgm.com/player/ETwaun-Moore/Summary/2354,E'Twaun Moore,2017,Wing,Guard,Slashing Wing
479,2853,http://www.basketball-reference.com/players/b/barroea01.html,http://basketball.realgm.com/player/Earl-Barron/Summary/879,Earl Barron,2015,Big,Forward,Shooting Big
480,201947,http://www.basketball-reference.com/players/c/clarkea01.html,http://basketball.realgm.com/player/Earl-Clark/Summary/1619,Earl Clark,2014,Wing,Forward,Shooting Wing
481,201947,http://www.basketball-reference.com/players/c/clarkea01.html,http://basketball.realgm.com/player/Earl-Clark/Summary/1619,Earl Clark,2015,Big,Interior,Shooting Big
482,2248,http://www.basketball-reference.com/players/w/watsoea01.html,http://basketball.realgm.com/player/Earl-Watson/Summary/287,Earl Watson,2014,Ball-Handler,Guard,Perimeter BH
483,202334,http://www.basketball-reference.com/players/d/davised01.html,http://basketball.realgm.com/player/Ed-Davis/Summary/2174,Ed Davis,2014,Big,Interior,Diving Big
484,202334,http://www.basketball-reference.com/players/d/davised01.html,http://basketball.realgm.com/player/Ed-Davis/Summary/2174,Ed Davis,2015,Big,Interior,Diving Big
485,202334,http://www.basketball-reference.com/players/d/davised01.html,http://basketball.realgm.com/player/Ed-Davis/Summary/2174,Ed Davis,2016,Big,Interior,Diving Big
486,202334,http://www.basketball-reference.com/players/d/davised01.html,http://basketball.realgm.com/player/Ed-Davis/Summary/2174,Ed Davis,2017,Big,Interior,Diving Big
487,202327,http://www.basketball-reference.com/players/u/udohek01.html,http://basketball.realgm.com/player/Ekpe-Udoh/Summary/4037,Ekpe Udoh,2014,Big,Interior,Diving Big
488,202327,http://www.basketball-reference.com/players/u/udohek01.html,http://basketball.realgm.com/player/Ekpe-Udoh/Summary/4037,Ekpe Udoh,2015,Big,Interior,Shooting Big
489,203901,http://www.basketball-reference.com/players/p/paytoel01.html,http://basketball.realgm.com/player/Elfrid-Payton/Summary/31736,Elfrid Payton,2015,Ball-Handler,Guard,Attacking BH
490,203901,http://www.basketball-reference.com/players/p/paytoel01.html,http://basketball.realgm.com/player/Elfrid-Payton/Summary/31736,Elfrid Payton,2016,Ball-Handler,Guard,Attacking BH
