,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season
43,Lineups,201571 - 202710 - 201959 - 2550 - 201149,"Augustin,D.J. - Butler,Jimmy - Gibson,Taj - Hinrich,Kirk - Noah,Joakim",1610612741,CHI,35,24,11,0.686,227.0,109.9,96.5,13.4,0.691,1.87,18.3,0.282,0.721,0.517,0.134,0.501,0.556,86.59,0.604,36,21,12187,4043,44,4440,4982,4136,3183,2014,3982,3822,6098,4401,6579,4382,4858,9680,4094,2013-14
44,Lineups,201147 - 203476 - 201567 - 2755 - 201937,"Brewer,Corey - Dieng,Gorgui - Love,Kevin - Martin,Kevin - Rubio,Ricky",1610612750,MIN,16,8,8,0.5,226.0,110.6,110.1,0.5,0.737,2.28,21.3,0.217,0.677,0.442,0.13,0.522,0.572,98.58,0.519,211,269,12046,4888,45,4362,7166,5168,2922,1144,2659,4833,6558,7069,6476,4224,4442,5465,5171,2013-14
45,Lineups,201945 - 2744 - 201177 - 201229 - 202689,"Henderson,Gerald - Jefferson,Al - McRoberts,Josh - Tolliver,Anthony - Walker,Kemba",1610612766,CHA,24,10,14,0.417,220.0,106.1,108.1,-2.0,0.551,3.13,17.1,0.147,0.787,0.466,0.07,0.495,0.532,95.69,0.481,92,181,12233,6287,46,4912,6974,6354,5006,524,4451,5750,5021,6569,4932,5807,5413,6587,5787,2013-14
46,Lineups,201587 - 203081 - 201577 - 202083 - 2748,"Batum,Nicolas - Lillard,Damian - Lopez,Robin - Matthews,Wesley - Wright,Dorell",1610612757,POR,15,8,7,0.533,213.0,107.6,104.2,3.5,0.622,1.48,17.3,0.277,0.757,0.521,0.159,0.508,0.557,97.0,0.521,245,269,11956,4866,47,4665,6437,4911,4198,2696,4390,3848,5325,4342,7466,4349,4829,6027,5147,2013-14
47,Lineups,201571 - 202710 - 2399 - 201959 - 201149,"Augustin,D.J. - Butler,Jimmy - Dunleavy,Mike - Gibson,Taj - Noah,Joakim",1610612741,CHI,36,26,10,0.722,212.0,112.5,97.8,14.7,0.66,1.68,18.6,0.323,0.758,0.552,0.155,0.511,0.571,89.66,0.619,31,16,12158,3949,48,4214,5103,4044,3944,2188,3820,3381,5321,3801,7314,4333,4475,8826,3928,2013-14
48,Lineups,203504 - 202324 - 202330 - 2210 - 202683,"Burke,Trey - Favors,Derrick - Hayward,Gordon - Jefferson,Richard - Kanter,Enes",1610612762,UTA,22,4,18,0.182,206.0,97.5,112.1,-14.6,0.62,1.39,17.9,0.201,0.794,0.48,0.171,0.498,0.531,91.96,0.414,113,787,12261,7333,50,6503,7349,7342,4206,2795,4161,4938,4993,6343,7968,5799,5436,8055,6675,2013-14
49,Lineups,101141 - 202688 - 203114 - 2585 - 203489,"Ilyasova,Ersan - Knight,Brandon - Middleton,Khris - Pachulia,Zaza - Wolters,Nate",1610612749,MIL,15,5,10,0.333,206.0,102.7,106.9,-4.2,0.658,1.83,19.1,0.274,0.754,0.504,0.145,0.49,0.523,92.86,0.472,245,580,12158,6491,49,5320,6865,6527,3948,2059,3674,3865,5333,4504,6955,5836,5571,7748,5905,2013-14
50,Lineups,2772 - 202344 - 101162 - 202322 - 101110,"Ariza,Trevor - Booker,Trevor - Gortat,Marcin - Wall,John - Webster,Martell",1610612764,WAS,45,25,20,0.556,202.0,111.8,106.0,5.8,0.593,1.72,19.0,0.249,0.751,0.5,0.15,0.561,0.586,96.2,0.509,12,19,12271,4809,51,4252,6665,4729,4603,2157,3703,4562,5342,4515,7199,3714,4176,6356,5274,2013-14
51,Lineups,201167 - 201175 - 202699 - 2749 - 203506,"Afflalo,Arron - Davis,Glen - Harris,Tobias - Nelson,Jameer - Oladipo,Victor",1610612753,ORL,17,4,13,0.235,201.0,96.4,120.6,-24.2,0.659,1.4,16.8,0.14,0.739,0.437,0.152,0.464,0.53,95.59,0.372,192,787,12217,7235,52,6598,8226,7972,3947,2754,4664,5905,5922,7136,7253,6156,5442,6620,7183,2013-14
52,Lineups,202329 - 203076 - 201569 - 201950 - 201160,"Aminu,Al-Farouq - Davis,Anthony - Gordon,Eric - Holiday,Jrue - Smith,Jason",1610612740,NOP,16,6,10,0.375,200.0,102.0,98.1,3.8,0.658,2.04,19.2,0.272,0.751,0.497,0.132,0.469,0.509,95.85,0.534,211,438,12158,6443,53,5471,5128,4886,3948,1243,3621,3919,5343,6204,6534,6073,6043,6522,4982,2013-14
